Image	x	y	width	height	score
5D0S5FRJ.jpg	2530.67	1035.61	94.9309	267.245	-0.45443
5D0S5FRK.jpg	350.256	1198.42	49.8329	154.127	0.277697
5D0S5FRK.jpg	313.261	953.065	113.406	310.366	-0.435074
5D0S5FRK.jpg	2041.9	1045.65	86.8082	269.316	-0.477679
5D0S5FRK.jpg	2226.06	1146.88	54.0928	170.452	-0.491911
5D0S5FRL.jpg	3758.76	556.126	103.273	302.91	-0.464022
5D0S5FRM.jpg	4097.56	657.163	48.0083	158.573	-0.433689
5D0S5FRM.jpg	2227.04	1101.82	70.5474	207.443	-0.465035
5D0S5FRO.jpg	616.141	1200.23	45.0857	137.068	0.976533
5D0S5FRO.jpg	3766.11	566.251	89.9875	276.179	-0.457246
5D0S5FRP.jpg	2656.94	1110.11	59.6355	173.221	-0.323879
5D0S5FRP.jpg	1473.65	975.407	92.3121	260.606	-0.578211
5D0S5FRQ.jpg	4097.42	654.646	50.4321	158.85	-0.320985
5D0S5FRQ.jpg	1353.69	1225.73	44.6971	137.615	-0.352918
5D0S5FRR.jpg	3182.26	1229.64	56.5117	178.966	-0.452523
5D0S5FRR.jpg	4580.7	1070.33	51.5039	159.312	-0.491872
5D0S5FRR.jpg	436.698	1194.26	49.0735	154.16	-0.522158
5D0S5FRT.jpg	3768.95	566.426	89.1638	275.136	-0.453182
5D0S5FRT.jpg	1370.39	1075.49	60.7401	166.213	-0.586325
5D0S5FRU.jpg	1567.91	1235.52	73.8104	240.278	0.0294872
5D0S5FRU.jpg	3246.09	1239.46	45.6733	141.116	-0.476231
5D0S5FRY.jpg	3768.73	569.426	90.811	272.978	-0.251707
5D0S5FRZ.jpg	327.944	1202.84	61.2892	181.924	0.386856
5D0S5FS4.jpg	2644.43	1014.18	91.1243	263.841	-0.541038
5D0S5FS6.jpg	3114.06	1121.01	47.0955	138.525	-0.479146
5D0S5FSA.jpg	2907.48	1019.01	89.0842	267.483	-0.425724
5D0S5FSB.jpg	2717.29	950.503	120.275	358.876	-0.126023
5D0S5FSB.jpg	3767.44	566.745	90.1367	274.921	-0.355903
5D0S5FSC.jpg	4454.8	1093.32	50.2612	151.474	-0.50705
5D0S5FSC.jpg	1024.09	1121.49	226.504	720.49	-0.548992
5D0S5FSD.jpg	645.292	867.675	92.1284	279.837	-0.357794
5D0S5FSD.jpg	3176.47	1091.33	52.3782	150.875	-0.407288
5D0S5FSD.jpg	2247.76	540.892	143.1	416.729	-0.663358
5D0S5FSH.jpg	4248.16	1019.32	71.3345	211.028	-0.110171
5D0S5FSH.jpg	4353.61	1087.66	45.3213	142.083	-0.362014
5D0S5FSH.jpg	4003.33	1092.42	57.7473	182.406	-0.582795
5D0S5FSO.jpg	4374.54	979.942	96.9272	317.358	-0.283004
5D0S5FST.jpg	111.759	1075.16	73.2803	203.821	-0.589433
5D0S5FSW.jpg	144.851	830.498	114.046	358.948	-0.524588
5D0S5FSX.jpg	3896.21	798.154	46.9185	145.05	-0.52804
5D0S5FSZ.jpg	2445.73	949.304	128.616	352.605	-0.485243
5D0S5FSZ.jpg	2755.76	1120.76	52.2739	158.765	-0.501093
5D0S5FSZ.jpg	2081.03	1106.86	51.2385	166.872	-0.529102
5D0S5FT3.jpg	4606.08	1224.7	46.4858	140.743	-0.38323
5D0S5FT3.jpg	365.568	1008.39	94.6538	271.447	-0.50684
5D0S5FTC.jpg	4613.59	626.204	48.9482	131.019	-0.362035
5D0S5FTC.jpg	2205.19	1155.07	47.2102	130.046	-0.543902
5D0S5FTC.jpg	2152.55	1571.44	107.02	300.368	-0.545309
5D0S5FTG.jpg	597.976	1048.18	45.7908	136.15	-0.438495
5D0S5FTI.jpg	2427.7	1073.6	70.5735	201.71	-0.438869
5D0S5FTQ.jpg	768.94	1125.79	81.7645	231.521	-0.382775
5D0S5FU1.jpg	4606.51	628.023	47.7456	134.31	-0.286527
5D0S5FU1.jpg	2166.06	1111.61	44.3296	123.039	-0.441279
5D0S5FU1.jpg	3710.97	623.328	41.7212	119.108	-0.49711
5D0S5FU3.jpg	4614.31	627.895	46.8521	133.912	-0.172685
5D0S5FU3.jpg	4304.47	1149.42	37.9678	111.136	-0.369103
5D0S5FUA.jpg	129.505	716.245	46.6215	142.144	-0.38073
5D0S5FUA.jpg	4603.68	627.99	49.5703	131.843	-0.472512
5D0S5FUB.jpg	2944.75	1272.79	85.998	273.689	-0.351891
5D0S5FUB.jpg	357.109	633.917	102.942	309.108	-0.45952
5D0S5FUB.jpg	2965.17	1002.68	55.7173	151.886	-0.628993
5D0S5FUC.jpg	4464.81	1149.28	40.9932	119.586	-0.638315
5D0S5FUC.jpg	2451.38	1093.25	73.0325	230.13	-0.654698
5D0S5FUD.jpg	2280.55	1118.91	55.8679	155.198	-0.32686
5D0S5FUD.jpg	2341.28	1085.02	70.8286	208.489	-0.406438
5D0S5FUD.jpg	80.4046	1135.14	67.0018	183.588	-0.512297
5D0S5FUD.jpg	110.555	1202.9	65.0592	181.472	-0.625244
5D0S5FUF.jpg	4623.17	630.49	47.8081	130.223	-0.0992275
5D0S5FUF.jpg	1395.03	1209.8	49.8143	160.57	-0.472611
5D0S5FUG.jpg	1711.9	1217.76	40.5651	118.12	-0.151982
5D0S5FUG.jpg	4604.43	627.848	46.1753	133.707	-0.160319
5D0S5FUG.jpg	3709.73	624.419	43.7756	118.787	-0.496104
5D0S5FUG.jpg	3333.16	1112.22	76.5088	254.48	-0.632208
5D0S5FUJ.jpg	205.063	1130.81	43.4507	135.287	-0.278665
5D0S5FUJ.jpg	994.407	975.997	89.0072	268.408	-0.554933
5D0S5FUJ.jpg	4613.68	626.401	45.79	129.804	-0.571856
5D0S5FUK.jpg	2792.86	555.266	46.5901	129.5	-0.361903
5D0S5FUL.jpg	3440.33	858.175	43.0605	124.972	-0.330048
5D0S5FUL.jpg	3592.55	1055.34	58.2603	175.753	-0.53685
5D0S5FUN.jpg	3939.44	925.934	159.181	475.767	-0.469295
5D0S5FUN.jpg	3464.22	1104.25	40.2493	120.074	-0.610651
5D0S5FUO.jpg	1443.29	1224.64	42.2469	143.956	-0.491847
5D0S5FUS.jpg	1631.82	1063.67	89.9045	285.055	-0.37318
5D0S5FUS.jpg	4616.46	1348.93	90.0386	263.678	-0.45162
5D0S5FUS.jpg	1107.14	974.183	90.8795	279.089	-0.568332
5D0S5FUT.jpg	3991.21	931.682	166.996	485.122	-0.297064
5D0S5FUU.jpg	3427.15	1104.59	47.52	139.231	-0.554243
5D0S5FUU.jpg	1682.46	1137.55	59.1877	184.794	-0.634019
5D0S5FUW.jpg	1118.53	1066.23	56.1713	178.929	-0.4628
5D0S5FUZ.jpg	167.268	1201.64	43.1643	117.502	-0.497323
5D0S5FUZ.jpg	2022.04	503.899	333.433	968.287	-0.507319
5D0S5FUZ.jpg	1477.82	1202.52	53.0946	157.042	-0.52163
5D0S5FV3.jpg	1624.66	1199.18	39.8813	121.087	-0.526356
5D0S5FV4.jpg	4235.99	988.973	45.4653	141.897	-0.315822
5D0S5FV5.jpg	1141.61	1035.68	66.3596	207	-0.4819
5D0S5FV5.jpg	1315.17	1097.05	45.1105	133.265	-0.488833
5D0S5FV5.jpg	1114.25	1120.5	44.6554	135.908	-0.612736
5D0S5FV7.jpg	4147.71	702.725	61.4712	181.303	-0.182616
5D0S5FV7.jpg	1409.34	1149.19	38.4165	110.257	-0.289654
5D0S5FV7.jpg	4466.22	961.133	54.4331	156.04	-0.531423
5D0S5FV7.jpg	535.256	1116.02	58.9539	182.594	-0.540871
5D0S5FVB.jpg	4536.21	1119.38	38.7866	121.822	-0.258056
5D0S5FVB.jpg	4166.3	1039.66	77.5503	251.781	-0.548665
5D0S5FVB.jpg	706.99	946.452	144.33	503.031	-0.63241
5D0S5FVC.jpg	681.274	640.263	214.349	621.012	-0.40108
5D0S5FVC.jpg	580.627	651.351	147.655	415.066	-0.416562
5D0S5FVC.jpg	2400.48	1028.63	120.018	390.219	-0.493441
5D0S5FVC.jpg	581.716	349.361	223.555	633.985	-0.588724
5D0S5FVF.jpg	1451.94	1095.5	62.1382	181.094	-0.396507
5D0S5FVF.jpg	362.01	1146.01	102.661	294.77	-0.435245
